VM ID,CPU Usage,Memory Usage,Network Usage,Storage Usage,Host ID,CPU Capacity,Memory Capacity,Network Capacity,Storage Capacity,Optimal VM Allocation,Migration Needed
1,39.3738684572402,86.53196791767914,47.37647557059462,23.79073641533489,95,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
2,83.56677277191513,8.118253344149384,41.4688471280004,40.64768548923144,16,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
3,33.27796937089554,20.352756841388587,85.78364469886452,59.96344627741017,23,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
4,15.950512357536994,56.36420834657411,55.04983011196257,47.84955554676114,64,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
5,20.08453933874691,30.37207816828913,23.866447588776786,92.98798637877907,87,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
6,96.46095554333935,83.53822556761727,21.781790465029548,78.48078258267948,58,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
7,61.89398164911641,69.90299311506493,87.96072475276831,98.47063169024638,4,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
8,44.96447307680247,31.51839215935075,37.060439511810685,47.53880951843382,32,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
9,47.096738161170784,13.005883771446925,87.63935309483902,92.30612933830146,46,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,0
10,72.21046812331161,70.92208540307186,63.98734123684686,97.00692077222509,82,234.22336724119194,3499.5120533512627,326.6010343574894,2502.865307494064,1,1
11,99.73166178528966,13.098468322952705,38.12830965653461,66.7862961531388,80,148.66826093986953,2163.7925758265033,234.06392337311405,1227.5660257130396,1,0
12,63.784573311368085,36.303483405237266,89.23403775657435,6.987691436847465,29,148.66826093986953,2163.7925758265033,234.06392337311405,1227.5660257130396,1,0
13,17.492321054386363,10.644650526128064,88.21508346929029,3.3320849789153173,100,148.66826093986953,2163.7925758265033,234.06392337311405,1227.5660257130396,0,0
